unique_identity,lig_sasa,rec_sasa,com_sasa,del_sasa
3zzf,3.76475191116333,467.66070556640625,466.6946716308594,4.73077392578125
3gww,5.712775230407715,196.19741821289062,194.33639526367188,7.57379150390625
1w8l,3.4247710704803467,77.51699829101562,76.77801513671875,4.16375732421875
3fqa,3.052598476409912,256.0010681152344,255.0228729248047,4.0308074951171875
1zsb,3.8384640216827393,115.62005615234375,114.70579528808594,4.752723693847656
4obv,4.182653427124023,322.1905517578125,320.21551513671875,6.157684326171875
1wkm,3.327272891998291,130.37600708007812,129.05152893066406,4.6517486572265625
3k41,4.161680221557617,141.98468017578125,141.12716674804688,5.019195556640625
4eu3,3.342061996459961,327.570556640625,326.47186279296875,4.440765380859375
2w97,2.534573554992676,191.8236846923828,191.45736694335938,2.9008941650390625
1p0y,3.8531880378723145,223.12828063964844,221.67559814453125,5.305877685546875
2b1r,5.192347049713135,113.2398681640625,112.24815368652344,6.184059143066406
2d2v,5.140301704406738,112.6510009765625,111.74226379394531,6.049041748046875
1aw1,2.83762788772583,185.5603790283203,184.8441925048828,3.5538177490234375
1maw,6.462329387664795,274.243408203125,272.9270935058594,7.778656005859375
3fl9,5.336432933807373,95.54293823242188,93.53520965576172,7.3441619873046875
5eb2,3.984964370727539,154.0451202392578,153.4405975341797,4.5894927978515625
4lh2,2.667464256286621,355.5122985839844,354.8605651855469,3.319183349609375
4to8,3.3641114234924316,220.73422241210938,219.64013671875,4.45819091796875
4fci,3.3819429874420166,331.6353759765625,330.6424560546875,4.3748779296875
4fck,3.3865466117858887,326.95147705078125,325.993408203125,4.3446044921875
4clp,4.933920383453369,559.173583984375,560.31494140625,3.79254150390625
1f9g,3.387294292449951,276.8896484375,276.1635437011719,4.1134033203125
1a0t,4.945037841796875,432.1121826171875,430.8975524902344,6.15966796875
1b74,3.2950527667999268,216.47364807128906,215.4296875,4.339019775390625
2fah,2.4284675121307373,223.61282348632812,223.09793090820312,2.943359375
5oxm,4.656946659088135,202.31854248046875,200.72726440429688,6.24822998046875
2igw,3.510495901107788,78.22801208496094,77.85066223144531,3.887847900390625
5mnc,2.651423931121826,91.22297668457031,90.48063659667969,3.3937606811523438
5mny,2.6549339294433594,94.14163970947266,93.46086120605469,3.3357086181640625
5moo,2.645193576812744,92.62530517578125,91.96397399902344,3.3065261840820312
2vl1,3.09814453125,318.1315612792969,317.5731506347656,3.65655517578125
3nm6,2.829868793487549,173.25457763671875,172.5858154296875,3.498626708984375
1qpb,2.418426036834717,724.0194702148438,723.1471557617188,3.29071044921875
1hty,3.1201400756835938,365.1639404296875,364.5888671875,3.695220947265625
1o4l,3.332738161087036,64.5850830078125,64.49219512939453,3.425628662109375
1o4m,2.425914764404297,64.28571319580078,63.95354080200195,2.7580833435058594
1o4n,2.099620819091797,64.65475463867188,64.31156921386719,2.44281005859375
2hdq,2.671952486038208,146.1640625,145.44374084472656,3.39227294921875
3eor,4.43251895904541,176.88687133789062,176.27928161621094,5.0401153564453125
3e81,5.0780744552612305,253.73104858398438,252.496826171875,6.312286376953125
1ozv,3.61745285987854,227.3809814453125,226.20541381835938,4.7930145263671875
1utp,3.8913094997406006,91.83610534667969,91.15242004394531,4.5749969482421875
5eb3,3.6100192070007324,146.57827758789062,146.19558715820312,3.992706298828125
1tnk,3.5937914848327637,91.58390808105469,90.7562255859375,4.421470642089844
4bh4,8.767972946166992,581.9252319335938,582.562744140625,8.13043212890625
5vqe,3.22359561920166,216.0225830078125,215.29591369628906,3.9502716064453125
4lh3,3.0165135860443115,357.7497863769531,356.9685974121094,3.797698974609375
5ct1,4.081038951873779,177.2011260986328,176.3851318359375,4.89703369140625
5ele,9.778525352478027,202.6717529296875,205.09286499023438,7.3574066162109375
3mwe,2.902024745941162,301.79388427734375,301.16778564453125,3.52813720703125
4amw,3.2168710231781006,315.97833251953125,315.2567443847656,3.938446044921875
1iig,2.9049367904663086,189.6552734375,189.00070190429688,3.55950927734375
3rup,5.737727642059326,324.039794921875,321.321533203125,8.45599365234375
5cs5,4.770258903503418,175.02198791503906,174.2674560546875,5.5247955322265625
5ofv,3.137938976287842,155.38522338867188,154.29638671875,4.226776123046875
2b1q,5.3270158767700195,113.02961730957031,112.37736511230469,5.979270935058594
1w8m,4.076704502105713,77.3750228881836,77.26217651367188,4.189552307128906
3itc,3.419222354888916,150.78501892089844,150.16372680664062,4.0405120849609375
2it4,2.455833911895752,111.11666107177734,110.36219024658203,3.2103042602539062
1a7t,3.658217668533325,190.5529022216797,189.2683563232422,4.9427642822265625
4d63,4.879393577575684,164.86155700683594,165.15771484375,4.5832366943359375
1hgj,5.106795787811279,566.1331787109375,566.2081909179688,5.03179931640625
1rdj,3.273993730545044,112.8350830078125,113.69266510009766,2.416412353515625
2o9r,5.343817710876465,168.74066162109375,166.76162719726562,7.322845458984375
4qsw,4.283900260925293,82.55272674560547,81.57769775390625,5.2589263916015625
2sfp,2.2136244773864746,269.1120300292969,268.5730285644531,2.75262451171875
3gf2,2.8916611671447754,141.10540771484375,140.109130859375,3.887939453125
3oay,3.3435473442077637,217.86221313476562,217.3441162109375,3.8616485595703125
4tyb,4.080588340759277,228.55099487304688,227.95510864257812,4.6764678955078125
6cex,4.11360502243042,165.03231811523438,165.17019653320312,3.9757232666015625
6cf5,3.984555721282959,172.92233276367188,172.77957153320312,4.1273193359375
3g6m,3.734009265899658,145.92202758789062,145.02423095703125,4.631805419921875
2hdr,3.1383330821990967,149.77304077148438,149.93246459960938,2.978912353515625
3ern,4.684880256652832,181.32070922851562,180.39610290527344,5.6094818115234375
3vzg,4.743279933929443,70.52452087402344,71.55972290039062,3.7080764770507812
3zst,9.888632774353027,514.412841796875,518.355224609375,5.94622802734375
5y61,5.325856685638428,130.73245239257812,132.07244873046875,3.9858551025390625
1u2y,3.648715019226074,177.30001831054688,176.4677734375,4.48095703125
4qsx,4.184370517730713,81.6446533203125,81.01910400390625,4.8099212646484375
5y62,5.443880558013916,149.25140380859375,151.76361083984375,2.931671142578125
5ggj,5.021495342254639,77.08795166015625,78.25570678710938,3.8537368774414062
4bgx,6.769317150115967,575.8135986328125,575.7758178710938,6.80706787109375
5ggl,5.637220859527588,78.0463638305664,79.66153717041016,4.0220489501953125
2zgm,5.2340474128723145,127.12899780273438,127.62458801269531,4.73846435546875
1ga8,5.202320575714111,125.5252685546875,124.35408782958984,6.373497009277344
3rxh,3.0622808933258057,92.01114654541016,91.36357116699219,3.7098541259765625
1af6,5.1520915031433105,467.18701171875,466.2386474609375,6.1004638671875
1bra,3.041689872741699,180.49066162109375,179.69493103027344,3.8374176025390625
1d5r,2.8842694759368896,157.9851531982422,157.395751953125,3.473663330078125
1y1m,2.95267653465271,142.0087432861328,141.21554565429688,3.745880126953125
3eqb,6.277535915374756,277.0468444824219,274.229248046875,9.095123291015625
4ahv,3.7682950496673584,142.03579711914062,141.02890014648438,4.7751922607421875
1rdn,4.124997138977051,113.48483276367188,114.34019470214844,3.2696380615234375
1fd7,6.55220365524292,209.3682098388672,209.01531982421875,6.90509033203125
3khv,3.4401752948760986,111.41511535644531,110.62337493896484,4.2319183349609375
1mwt,5.208904266357422,299.3992004394531,297.5393371582031,7.068756103515625
1tnl,3.446275472640991,91.37556457519531,90.55941772460938,4.262420654296875
2ay2,3.534855842590332,286.0683288574219,284.8889465332031,4.7142333984375
4x8s,3.339596748352051,139.25987243652344,138.55776977539062,4.0417022705078125
1f2p,3.6041572093963623,108.28235626220703,106.69356536865234,5.1929473876953125
4mrh,3.309739351272583,76.88383483886719,76.20996856689453,3.9836044311523438
1f2o,3.1704390048980713,106.65186309814453,105.45890045166016,4.3634033203125
1efi,4.665136814117432,206.54592895507812,206.42971801757812,4.781341552734375
3ehn,5.9059834480285645,179.6820068359375,180.56051635742188,5.0274810791015625
4bh3,8.331591606140137,586.6065673828125,587.8126220703125,7.12554931640625
2rjr,3.7049367427825928,533.431640625,532.3717651367188,4.76483154296875
5nn4,3.2982001304626465,294.2862548828125,294.55047607421875,3.033966064453125
4mrf,3.2757503986358643,76.44229888916016,75.72052001953125,3.997528076171875
1tnj,3.3221991062164307,91.13436889648438,90.32954406738281,4.127021789550781
2gga,3.108476161956787,159.22616577148438,158.61392211914062,3.7207183837890625
5oxn,4.666965961456299,210.9967803955078,209.03842163085938,6.6253204345703125
1wdq,5.121044635772705,185.099609375,183.1123046875,7.1083526611328125
1gbt,3.6712379455566406,90.64884948730469,89.78578186035156,4.5343017578125
2bmv,3.086237907409668,73.48880004882812,73.97335815429688,2.6016769409179688
2hds,3.866790294647217,146.20913696289062,145.4149169921875,4.6610107421875
2r58,4.11817741394043,112.63351440429688,112.49369812011719,4.25799560546875
3c2f,5.252410411834717,572.7659301757812,570.646484375,7.371826171875
3g2y,3.767971992492676,107.73493957519531,107.0606460571289,4.442268371582031
3pce,3.290534257888794,937.5205078125,936.5842895507812,4.22674560546875
3rv3,5.8265700340271,329.3505859375,326.6747741699219,8.50238037109375
4awj,3.9307172298431396,166.9044647216797,166.51458740234375,4.320587158203125
4ctk,3.03904128074646,129.141357421875,129.3115234375,2.8688812255859375
4kz5,4.588565349578857,149.94247436523438,149.24722290039062,5.2838134765625
4qsu,2.8514246940612793,83.53578186035156,82.87918853759766,3.5080184936523438
4qsv,4.443841457366943,83.60356140136719,82.72735595703125,5.320045471191406
4u58,6.209177017211914,192.37142944335938,192.94100952148438,5.6396026611328125
4y4g,3.736973762512207,132.88174438476562,131.72442626953125,4.894287109375
6evq,5.72052001953125,96.80252075195312,96.49372863769531,6.0293121337890625
4ty8,3.4696404933929443,227.30709838867188,226.6768341064453,4.0998992919921875
5ekx,3.3090641498565674,126.97322845458984,127.8431396484375,2.43914794921875
5nzq,3.470634698867798,154.02899169921875,152.75848388671875,4.74114990234375
2ks9,17.99504852294922,182.71099853515625,191.15103149414062,9.555023193359375
1jfh,5.95806884765625,179.22193908691406,178.4900665283203,6.68994140625
4e4a,3.0524816513061523,117.66473388671875,116.9833984375,3.7338180541992188
4ty9,3.083240032196045,228.9160919189453,228.61944580078125,3.3798828125
4x8t,3.5442473888397217,138.9739990234375,138.012939453125,4.50531005859375
5eiw,3.31329083442688,127.39665222167969,128.3147735595703,2.395172119140625
1qq9,3.2734010219573975,105.85421752929688,104.62855529785156,4.499061584472656
1rdi,3.5820083618164062,113.00624084472656,113.97422790527344,2.6140213012695312
2zg3,4.6953206062316895,120.19092559814453,120.77555847167969,4.110687255859375
4u54,4.356362819671631,189.96426391601562,190.44674682617188,3.8738861083984375
3ao4,4.228749752044678,123.57756805419922,122.16577911376953,5.640541076660156
4b0c,3.9373044967651367,137.14405822753906,135.54969787597656,5.5316619873046875
3rxp,3.330749750137329,92.19711303710938,91.46481323242188,4.06304931640625
5tyh,3.5231776237487793,227.16165161132812,226.35128784179688,4.3335418701171875
1njj,7.349100589752197,302.2298278808594,301.26971435546875,8.3092041015625
2zg1,4.851447582244873,123.43203735351562,124.20051574707031,4.0829620361328125
4cs9,5.188549518585205,303.4378662109375,304.55987548828125,4.0665283203125
1qx1,3.2743377685546875,350.0645751953125,349.3576965332031,3.981231689453125
2w8w,4.990127086639404,261.77740478515625,260.0577697753906,6.709747314453125
3gv9,3.473891496658325,146.98947143554688,145.97889709472656,4.484466552734375
1p2g,13.394789695739746,556.326904296875,559.9966430664062,9.72503662109375
1uxb,6.5714850425720215,207.24118041992188,208.45045471191406,5.362213134765625
3rxg,3.0501668453216553,91.8542709350586,90.973388671875,3.9310455322265625
4b0j,3.607877016067505,136.02993774414062,134.84695434570312,4.790863037109375
4q90,2.968014717102051,118.07131958007812,117.12129211425781,3.9180450439453125
5cs3,4.662598609924316,175.34214782714844,174.60433959960938,5.4004058837890625
6fap,3.797710657119751,41.475502014160156,41.32562255859375,3.947589874267578
6fi1,3.7721848487854004,46.963897705078125,46.617271423339844,4.118812561035156
2ay9,3.9512319564819336,283.1919250488281,281.72332763671875,5.419830322265625
4tim,3.1901917457580566,189.01397705078125,188.2987060546875,3.90545654296875
5fe6,3.8104605674743652,72.14338684082031,70.7583999633789,5.1954498291015625
6ghj,6.352321147918701,209.04727172851562,206.52676391601562,8.872833251953125
3gqz,4.512559413909912,147.81085205078125,147.16015625,5.1632537841796875
4y3j,3.5691263675689697,134.03646850585938,132.73114013671875,4.87445068359375
5oxk,4.393899440765381,199.5306396484375,197.90357971191406,6.020965576171875
5z5f,3.0536229610443115,360.1231384277344,359.52093505859375,3.65582275390625
6gmx,3.5842761993408203,169.89935302734375,169.13473510742188,4.3488922119140625
3l7d,5.957764148712158,563.5054321289062,560.3886108398438,9.0745849609375
6g47,8.04682731628418,183.10232543945312,185.140380859375,6.0087738037109375
4ahr,3.7468361854553223,144.85995483398438,143.40872192382812,5.1980743408203125
4ahs,3.2241060733795166,144.11407470703125,143.163818359375,4.1743621826171875
4amx,3.28790020942688,316.53546142578125,315.9226989746094,3.900665283203125
4jdf,4.085327625274658,143.54302978515625,142.28866577148438,5.339691162109375
4mre,3.050370931625366,77.30364990234375,76.52525329589844,3.828765869140625
5nzp,2.9163551330566406,153.13925170898438,152.18882751464844,3.8667755126953125
1w1v,5.001608848571777,370.3326721191406,369.3365478515625,5.99774169921875
2vvo,4.1066107749938965,125.55633544921875,124.49191284179688,5.1710357666015625
4eh8,4.439021587371826,171.75502014160156,170.33639526367188,5.8576507568359375
1x8d,3.237581253051758,105.96617126464844,104.79582977294922,4.407920837402344
4g0z,5.247542381286621,80.43260192871094,80.38409423828125,5.296051025390625
1icj,7.2824482917785645,265.4541931152344,263.51885986328125,9.2177734375
1m0n,5.742980480194092,489.08740234375,487.2931823730469,7.537200927734375
