pdb_id	-logAffi
3fl9	1.11
2hdq	1.4
1utp	1.44
2hdr	1.72
1u2y	1.74
4mrh	1.9
4awj	2.0
2hds	2.0
1gbt	2.0
4qsv	2.0
5nzq	2.03
3l7d	2.18
4mre	2.19
5nzo	2.24
4np2	2.26
3fu0	2.28
5fnj	2.29
2hdu	2.3
4e3d	2.3
1o4j	2.36
4jck	2.37
1nwl	2.39
3l7b	2.4
4zsm	2.4
3t2t	2.4
3mjl	2.44
1o4o	2.46
3mfv	2.52
4e3f	2.52
2c4v	2.6
1o4p	2.6
4y2p	2.66
4usw	2.69
4h4b	2.7
2ohk	2.7
3fud	2.7
2ha4	2.7
1ny2	2.76
5fbi	2.8
5ofw	2.8
3fue	2.82
4luv	2.85
5aes	2.89
4llx	2.89
5ngz	2.89
2pri	2.91
5c0k	2.92
4lm3	2.92
1o4k	2.92
1zp5	2.92
3ftv	2.93
4mrg	2.96
3imc	2.96
5flq	2.97
5aba	2.98
4llk	3.0
5jan	3.01
3fuk	3.02
4q81	3.02
4qp2	3.03
3zvv	3.04
3t1m	3.04
2ohl	3.05
2vcw	3.05
4csy	3.06
3rxj	3.06
4nyi	3.06
1s26	3.07
1mdl	3.09
5eh8	3.1
3msj	3.11
3odk	3.14
3cgy	3.15
3ecn	3.16
4hnc	3.17
1lbk	3.18
3g1v	3.19
3fty	3.21
4tyl	3.22
1br6	3.22
2uy3	3.22
4unp	3.23
2r8q	3.24
4k60	3.24
3t1l	3.26
3ioe	3.27
4msa	3.3
2xml	3.3
5mt0	3.3
4np3	3.3
1zd3	3.3
1o4e	3.3
4mrw	3.3
5c7a	3.31
1i2s	3.31
188l	3.33
2qcm	3.35
3zxe	3.35
2c6g	3.37
4mrd	3.37
3d8z	3.37
187l	3.37
3mrx	3.39
4ms0	3.39
2j9h	3.39
3d8y	3.4
1il9	3.4
3px9	3.42
4llj	3.42
2c57	3.43
1kti	3.43
2xp5	3.44
4bhf	3.46
4tz2	3.46
2wi3	3.46
3nuy	3.46
1wcc	3.46
5ma7	3.47
3mtd	3.47
2c90	3.48
3g1d	3.48
2f10	3.48
2qcf	3.49
2ohm	3.51
3nus	3.51
1ysg	3.52
4hv7	3.52
5mod	3.52
1o4f	3.52
3mfw	3.52
3zly	3.52
4mrz	3.52
185l	3.54
4nym	3.55
5dts	3.55
5vkm	3.55
2ycm	3.56
4xm7	3.57
5csh	3.57
1np0	3.57
4q7v	3.59
2nn8	3.59
3kn0	3.6
3b3x	3.6
1zd4	3.6
2xdk	3.6
5lvr	3.6
2oq6	3.6
1pb9	3.62
