unique_identify	-logAffi
CHEMBL1275212_3nc9_CHEMBL3666184	5.667561540084393
CHEMBL4245_2gpp_CHEMBL4217256	5.667561540084393
CHEMBL2169736_5j3s_CHEMBL2420469	5.667561540084393
CHEMBL4822_4wy6_CHEMBL3650173	5.667561540084393
CHEMBL6154_5adr_CHEMBL3752386	5.6687809822676005
CHEMBL5408_6cq4_CHEMBL4289613	5.669318073482264
CHEMBL4860_2w3l_CHEMBL446802	5.6693492749665415
CHEMBL4722_2j4z_CHEMBL382416	5.669586226650809
CHEMBL203_3ika_CHEMBL4218320	5.669586226650809
CHEMBL235_3ads_CHEMBL181835	5.669586226650809
CHEMBL1947_1nax_CHEMBL193851	5.669586226650809
CHEMBL3116_3lq5_CHEMBL3655777	5.669586226650809
CHEMBL205_3kig_CHEMBL1836407	5.669586226650809
CHEMBL3706_3ewj_CHEMBL467856	5.669586226650809
CHEMBL5174_6fmc_CHEMBL4203943	5.669586226650809
CHEMBL1163125_5i80_CHEMBL3975443	5.6709704406482935
CHEMBL251_5wf6_CHEMBL205226	5.671620396561263
CHEMBL3217379_5etp_CHEMBL3818002	5.671620396561263
CHEMBL5023_1t4e_CHEMBL382389	5.671620396561263
CHEMBL3650_1fgi_CHEMBL147112	5.671620396561263
CHEMBL4722_4deb_CHEMBL3966220	5.671663477057575
CHEMBL3345_3n87_CHEMBL189859	5.672641065613671
CHEMBL3105_2rcw_CHEMBL4530032	5.672685551542712
CHEMBL4581_2ieh_CHEMBL240471	5.673393743112327
CHEMBL4722_2xne_CHEMBL1257211	5.673664139071248
CHEMBL4822_4rro_CHEMBL3650808	5.673664139071248
CHEMBL261_2nmx_CHEMBL3314174	5.673664139071248
CHEMBL203_5j9y_CHEMBL1242848	5.673664139071248
CHEMBL235_2f4b_CHEMBL450774	5.673664139071248
CHEMBL4822_4rro_CHEMBL3650791	5.673664139071248
CHEMBL3474_1db4_CHEMBL149709	5.673664139071248
CHEMBL2016_4zae_CHEMBL3423041	5.673664139071248
CHEMBL3231_3tv7_CHEMBL3218018	5.673683465958445
CHEMBL4822_4rro_CHEMBL3949349	5.673869043289206
CHEMBL3837_2yjb_CHEMBL4109577	5.6742791419805885
CHEMBL1163125_4nuc_CHEMBL3087044	5.674749102560817
CHEMBL279_3c7q_CHEMBL500435	5.6753060861382245
CHEMBL3711550_5ukm_CHEMBL4105100	5.675717544702308
CHEMBL301_3s2p_CHEMBL1800448	5.675717544702308
CHEMBL301_6gub_CHEMBL133498	5.675717544702308
CHEMBL2971_5usz_CHEMBL1287941	5.675717544702308
CHEMBL2911_2gmv_CHEMBL120708	5.675717544702308
CHEMBL2652_5u7k_CHEMBL4060508	5.676253024284987
CHEMBL262_2x39_CHEMBL405384	5.677043362483077
CHEMBL205_6eea_CHEMBL4287699	5.6771400766167375
CHEMBL4617_2opb_CHEMBL208173	5.6777807052660805
CHEMBL235_1fm9_CHEMBL104458	5.6777807052660805
