pdb_id	-logAffi
3fl9	1.11
2hdq	1.4
1utp	1.44
1tnk	1.49
1a7t	1.64
2hdr	1.72
1u2y	1.74
4mrh	1.9
1gbt	2.0
2hds	2.0
5nzq	2.03
5tyh	2.08
6gmx	2.17
3l7d	2.18
4mre	2.19
4np2	2.26
3fu0	2.28
5fnj	2.29
6gmq	2.3
4e3d	2.3
2hdu	2.3
4jck	2.37
3t2t	2.4
3mjl	2.44
1o4h	2.44
5jal	2.47
3rik	2.47
4e3f	2.52
3mfv	2.52
5n53	2.55
2c4v	2.6
1o4p	2.6
3p1d	2.64
4y2p	2.66
4usw	2.69
2ohk	2.7
3hvg	2.7
2ha4	2.7
3fud	2.7
4h4b	2.7
5fbi	2.8
2bza	2.8
3fue	2.82
3fu3	2.84
4luv	2.85
4fgz	2.87
5aes	2.89
5ngz	2.89
2pri	2.91
1zp5	2.92
1o4k	2.92
4y2q	2.92
5c0k	2.92
1tng	2.93
3ftv	2.93
3imc	2.96
5flq	2.97
3djq	2.98
4llk	3.0
6ftz	3.0
2vtm	3.0
5ye8	3.0
3ap7	3.0
4q81	3.02
3fuk	3.02
6f6n	3.02
4lm2	3.03
4qp2	3.03
3t1m	3.04
3zvv	3.04
2vcw	3.05
2ohl	3.05
3rxj	3.06
4nyi	3.06
4csy	3.06
6ew6	3.08
1mdl	3.09
3msj	3.11
3kac	3.13
3odk	3.14
3ecn	3.16
4hnc	3.17
1lbk	3.18
3g1v	3.19
3fty	3.21
2uy3	3.22
4tyl	3.22
1br6	3.22
4unp	3.23
4lm1	3.23
6g9b	3.24
4luo	3.24
4k60	3.24
3t1l	3.26
3ioe	3.27
3ms4	3.28
4msa	3.3
5mt4	3.3
1zd3	3.3
2xml	3.3
5mt0	3.3
4np3	3.3
1o4e	3.3
5c7a	3.31
4i7j	3.32
188l	3.33
4k2y	3.33
2qcm	3.35
3zxe	3.35
187l	3.37
4mrd	3.37
2c6g	3.37
3mrx	3.39
4ms0	3.39
1il9	3.4
6ce8	3.41
3px9	3.42
4mi9	3.42
1kti	3.43
5osl	3.43
2xp5	3.44
5wi0	3.44
1wcc	3.46
2wi3	3.46
4qp6	3.46
4bhf	3.46
3mtd	3.47
5ma7	3.47
2c90	3.48
2qcf	3.49
1c5o	3.49
2ohm	3.51
5dtt	3.51
3nus	3.51
3mfw	3.52
1ysg	3.52
4hv7	3.52
4mrz	3.52
1o4f	3.52
5mod	3.52
185l	3.54
6f5u	3.54
5dts	3.55
2ycm	3.56
1np0	3.57
4xm7	3.57
6gjm	3.58
2nn8	3.59
